date,sleep_state,011050000,unc_011050000,690550000,unc_690550000,691430104,unc_691430104,692440102,unc_692440102,692660601,unc_692660601,692760102,unc_692760102,692900602,unc_692900602,693830701,unc_693830701,693860503,unc_693860503,693890104,unc_693890104
2019-03-26,awake,2019-03-27 07:45:00,0.3293642541054823,2019-03-27 07:15:00,0.5078985691323766,2019-03-27 07:30:00,0.5891390236429896,2019-03-27 07:30:00,0.5812052743528473,2019-03-27 08:15:00,0.16943258255037785,2019-03-27 07:45:00,0.2587869660183324,2019-03-27 08:30:00,0.2225474897096021,2019-03-27 08:00:00,0.1946453246583696,2019-03-27 08:45:00,0.9137964666895606,2019-03-27 08:15:00,0.6192880151000815
2019-03-27,asleep,2019-03-27 22:30:00,0.28993765264545,2019-03-27 22:30:00,0.45428815611554085,2019-03-27 22:15:00,0.11572269882325456,2019-03-27 22:30:00,0.11531720495131012,2019-03-27 22:45:00,0.44691610961867767,2019-03-27 22:45:00,0.28904071182300245,2019-03-27 23:00:00,0.3577235555499723,2019-03-27 22:15:00,0.2737183312424779,2019-03-27 21:45:00,0.1305543098092125,2019-03-27 22:00:00,0.1638269591109354
2019-03-27,awake,2019-03-28 07:45:00,0.3277533417418213,2019-03-28 07:15:00,0.4969407298177142,2019-03-28 07:30:00,0.6077415932119867,2019-03-28 07:30:00,0.5531629666870368,2019-03-28 08:15:00,0.167655762890411,2019-03-28 07:45:00,0.25156512259560204,2019-03-28 08:30:00,0.21846221087361922,2019-03-28 08:00:00,0.19419995292287562,2019-03-28 08:45:00,0.9122261685649131,2019-03-28 08:15:00,0.6149877545988205
2019-03-28,asleep,2019-03-28 22:30:00,0.2839709288895519,2019-03-28 22:30:00,0.44962486095369436,2019-03-28 22:15:00,0.11977069672239847,2019-03-28 22:30:00,0.11690028582823643,2019-03-28 22:45:00,0.43734069313006074,2019-03-28 22:45:00,0.2873831896364758,2019-03-28 23:00:00,0.3587054251936282,2019-03-28 22:15:00,0.28033098640381,2019-03-28 21:45:00,0.13097119306988625,2019-03-28 22:00:00,0.16429216410581748
2019-03-28,awake,2019-03-29 07:45:00,0.3260624696409562,2019-03-29 07:15:00,0.48554692005826394,2019-03-29 07:30:00,0.6159041938388148,2019-03-29 07:30:00,0.524796958177467,2019-03-29 08:15:00,0.16811634492084854,2019-03-29 07:45:00,0.2442047584195749,2019-03-29 08:30:00,0.21427828302289256,2019-03-29 08:00:00,0.19382185145494837,2019-03-29 08:45:00,0.9113499473716393,2019-03-29 08:15:00,0.6104811536059382
2019-03-29,asleep,2019-03-29 22:30:00,0.27861160075637037,2019-03-29 22:30:00,0.4451566558654956,2019-03-29 22:15:00,0.12389699658852363,2019-03-29 22:30:00,0.11850999683801436,2019-03-29 22:45:00,0.4272457419894654,2019-03-29 22:45:00,0.28552157372856884,2019-03-29 23:00:00,0.35942743985327363,2019-03-29 22:15:00,0.28727127585226564,2019-03-29 22:15:00,0.14841312778651658,2019-03-29 22:00:00,0.1647597484109859
2019-03-29,awake,2019-03-30 07:45:00,0.2787507905998055,2019-03-30 07:15:00,0.474815729371185,2019-03-30 07:30:00,0.6209391796402675,2019-03-30 07:30:00,0.49617405563156913,2019-03-30 08:15:00,0.16848326380104706,2019-03-30 07:45:00,0.23669930988890137,2019-03-30 08:30:00,0.2100033450425709,2019-03-30 08:00:00,0.1934507362437331,2019-03-30 08:45:00,0.9093426278354643,2019-03-30 08:15:00,0.6057393575396428
2019-03-30,asleep,2019-03-30 22:30:00,0.273310001810101,2019-03-30 22:30:00,0.44068351114555837,2019-03-30 22:15:00,0.1281022813822151,2019-03-30 22:30:00,0.12009769413420715,2019-03-30 22:45:00,0.4166848668762411,2019-03-30 22:45:00,0.283460710491655,2019-03-30 23:00:00,0.27146439464660893,2019-03-30 22:15:00,0.2945797721475089,2019-03-30 22:15:00,0.15448096783048507,2019-03-30 22:00:00,0.16523136495767
2019-03-30,awake,2019-03-31 07:45:00,0.27742896409638756,2019-03-31 07:15:00,0.4626772953471143,2019-03-31 07:30:00,0.6261034074383837,2019-03-31 07:30:00,0.5424699754483641,2019-03-31 08:15:00,0.16876477488128105,2019-03-31 07:45:00,0.2290626152341166,2019-03-31 08:30:00,0.20610392702580388,2019-03-31 08:00:00,0.1928100573088027,2019-03-31 08:45:00,0.911463486438435,2019-03-31 08:15:00,0.6007471140445053
2019-03-31,asleep,2019-03-31 22:30:00,0.2678748511262658,2019-03-31 22:30:00,0.4360456624475912,2019-03-31 22:15:00,0.13238605170468115,2019-03-31 22:30:00,0.12186799497903955,2019-03-31 22:45:00,0.40625237810606624,2019-03-31 22:30:00,0.18222002426399994,2019-03-31 23:00:00,0.2746833441089717,2019-03-31 22:15:00,0.3017272986788887,2019-03-31 22:15:00,0.16035751864384817,2019-03-31 22:00:00,0.16570951090798483
